5,19,17,3,0,1,10,1,1,0,8,11,15,17,22,5,16,0,0,23,7,27,15,21,21,11,2,29,5,15,10,4,15,12,4,9,3,10,3,5,2,10,22,16,12,68,5,22,20,5,33,2,5,2,1,2,1,9,8,4,36,32,0,15,23,10,1,19,0,1,1,25,28,15,38,10,33,21,1,23,7,12,7,30,9,16,33,20,8,42,42,0,0,13,30,20,0,29,1,15,4,2,35,18,18,4,9,10,0,1,5,3,10,81,0,37,4,25,0,6,0,9,24,9,1,1,11,17,0,2,13,18,5,12,10,10,19,2,21,2,2,30,12,15,31,9,5,10,4,6,9,11,17,14,13,9,12,17,9,2,28,19,2,12,11,20,8,12,7,16,26,8,3,4,7,1,26,54,15,24,1,7,6,13,7,9,16,4,5,25,10,10,25,2,16,1,5,0,4,1,10,54,12,4,4,0,17,9,12,7,17,40,36,11,5,39,4,18,4,35,5,71,31,5,14,1,3,19,53,8,19,47,12,16,5,28,5,17,27,4,25,20,15,1,25,16,9,34,31,124,5,17,0,8,31,0
38,12,12,0,203,0,3,0,0,0,1,5,58,23,6,0,16,0,0,0,13,34,36,44,1,2,0,53,0,35,43,8,36,4,36,35,7,0,0,31,0,11,30,39,52,8,43,21,2,1,3,0,26,2,0,1,0,19,1,1,0,32,0,18,29,1,0,27,0,0,0,10,46,17,13,2,16,3,0,39,4,17,16,0,0,23,0,1,0,25,0,18,4,1,7,47,0,23,0,1,1,0,0,0,4,0,20,23,4,0,10,5,20,1,0,0,0,29,9,2,0,2,0,3,3,0,17,0,0,0,9,53,0,5,16,53,10,3,0,23,0,33,2,3,12,1,1,5,8,8,0,4,1,8,21,1,17,6,2,1,0,6,1,0,23,47,7,3,16,13,0,0,0,1,8,0,11,0,1,15,13,8,4,21,1,5,28,6,0,17,9,36,9,5,31,13,2,18,3,1,32,96,35,30,0,6,0,39,7,8,21,19,2,0,0,13,0,7,0,14,6,21,30,2,55,2,12,9,75,0,0,8,3,1,0,5,6,4,0,1,1,28,52,0,0,1,26,29,13,0,11,44,9,19,17,0
1,20,6,0,0,0,10,0,0,0,9,0,2,4,25,0,26,0,0,7,31,1,1,1,27,9,0,28,0,37,3,4,1,33,0,1,0,0,0,4,32,0,4,4,13,453,0,1,4,4,9,0,2,0,0,2,0,17,9,2,6,6,0,1,10,6,3,15,0,1,0,10,15,9,19,2,29,30,0,4,7,22,0,1,4,8,32,43,0,78,0,0,0,0,18,2,0,0,2,115,1,0,28,0,24,0,1,13,0,4,0,24,13,86,1,9,0,8,0,4,0,0,20,11,0,1,6,3,0,0,1,3,0,2,9,2,4,1,3,0,0,5,5,42,18,1,1,29,6,4,6,0,8,8,22,3,3,1,19,4,18,19,3,4,3,24,0,3,1,42,20,3,0,0,28,0,6,0,15,29,0,0,0,0,7,3,11,2,1,10,13,0,5,4,7,0,0,0,0,0,0,75,15,10,0,0,0,1,26,38,1,19,9,5,0,55,0,15,1,31,0,56,2,1,1,0,0,9,37,2,6,74,1,5,6,16,1,2,5,10,41,7,2,0,3,3,5,18,39,155,20,0,0,3,23,0
0,11,1,3,622,1,0,9,3,1,1,10,56,9,0,2,4,0,0,9,7,17,58,34,1,17,6,3,20,3,8,17,52,12,0,65,1,4,7,3,0,52,43,31,5,1,1,28,11,0,15,0,45,3,0,10,0,0,0,10,27,25,0,32,8,0,0,3,1,0,0,0,3,7,14,7,0,6,0,29,1,12,24,25,1,24,9,2,0,2,9,0,0,7,3,38,4,31,3,49,5,25,4,1,0,0,1,27,2,3,20,4,17,4,0,2,2,2,1,1,0,7,0,0,4,5,4,0,2,0,7,38,1,0,4,5,24,0,6,34,0,12,5,0,9,4,10,4,6,3,0,1,0,3,4,40,12,13,0,0,3,4,0,6,13,4,4,0,9,3,1,0,4,3,1,6,16,8,3,4,35,4,3,35,1,2,6,0,3,2,0,43,7,0,45,2,13,9,9,7,71,8,13,0,1,27,2,2,0,0,43,6,13,4,7,0,6,2,2,6,3,2,25,5,20,5,28,11,5,4,25,0,7,4,0,1,1,3,2,1,4,38,57,9,0,5,46,1,0,0,2,8,19,45,8,0
11,25,0,3,10,3,24,0,44,0,2,8,13,9,1,5,2,0,0,5,14,15,5,6,6,9,0,3,0,1,17,21,20,7,48,12,47,2,5,6,3,11,16,15,13,0,62,4,8,3,22,1,8,25,1,3,0,6,18,3,9,37,1,11,16,1,1,2,0,22,0,7,25,8,12,7,4,9,0,18,1,21,7,7,1,8,11,3,0,1,4,0,2,75,4,9,0,4,24,28,4,22,2,0,1,1,1,19,35,0,9,6,22,4,2,1,2,18,71,1,0,6,0,1,4,2,5,0,0,0,14,10,0,3,15,59,13,1,3,13,46,24,6,8,8,5,5,9,10,50,1,43,7,12,13,11,13,4,0,0,1,19,59,5,24,11,30,4,8,50,2,4,0,42,8,3,15,1,4,17,6,18,3,7,6,5,17,5,1,8,7,4,5,3,17,95,6,16,3,5,12,26,13,3,0,3,1,92,0,1,13,5,12,24,56,3,2,1,1,4,2,1,22,9,73,113,2,7,35,1,10,8,9,3,1,11,49,11,7,6,10,7,11,0,0,16,10,2,2,0,12,53,7,9,40,0
9,3,40,13,0,0,5,6,1,1,13,2,3,9,0,1,10,1,2,9,0,13,0,24,0,38,2,20,0,17,5,29,43,0,8,0,4,4,2,22,7,4,2,10,8,1,20,22,17,18,18,1,24,2,0,170,9,16,4,3,9,0,0,3,18,54,0,26,2,7,1,4,37,6,1,13,5,39,4,3,26,2,2,25,14,0,12,11,2,0,34,0,0,4,3,65,0,11,14,37,24,1,16,3,14,2,18,1,4,5,2,13,2,10,14,5,16,6,27,25,0,30,8,23,4,5,49,18,1,10,10,94,1,13,5,18,2,4,16,0,4,25,46,0,27,27,25,101,3,7,9,6,17,21,8,0,29,6,23,13,20,3,22,23,20,9,11,4,6,10,10,42,2,4,12,1,10,1,20,1,0,29,12,11,8,12,21,2,24,20,16,37,31,13,32,11,21,1,1,12,1,4,18,3,4,0,13,22,0,4,31,19,20,1,6,4,11,6,12,10,18,4,30,20,30,1,1,5,3,11,24,4,35,46,16,7,13,7,9,25,4,24,34,0,12,8,20,4,11,9,11,19,0,0,1,4
1,8,10,8,0,9,0,11,0,1,18,2,1,11,0,1,8,3,7,7,0,14,3,19,1,7,0,39,4,9,13,34,6,1,32,1,2,15,10,10,10,4,5,15,10,14,15,18,18,12,15,0,21,8,12,18,8,20,8,9,18,3,0,12,18,3,10,16,0,6,0,10,21,33,3,11,7,39,3,1,13,5,2,21,18,3,44,12,0,17,27,6,0,0,2,14,0,26,8,121,18,0,34,5,1,0,1,6,1,27,5,2,3,26,5,0,21,14,26,9,0,17,11,12,9,2,13,18,4,7,15,12,5,0,8,24,10,2,13,0,15,13,25,2,17,17,18,16,9,38,3,6,6,6,2,1,26,10,11,14,17,4,8,21,41,13,0,5,7,11,11,21,0,11,18,2,14,1,22,1,0,16,9,18,13,8,1,2,16,10,6,23,21,2,10,23,18,0,8,8,1,20,6,1,0,0,24,13,0,3,5,11,17,5,8,5,12,19,14,11,19,12,0,45,22,27,0,4,23,14,10,4,9,11,1,5,0,2,15,26,3,12,0,0,22,9,12,19,9,4,13,0,0,0,11,1
0,9,37,4,0,0,6,1,0,0,7,13,3,9,0,3,24,0,0,6,12,21,9,13,2,5,0,21,0,24,2,22,8,12,0,4,16,1,5,13,3,19,26,31,6,26,14,9,7,1,5,0,31,13,0,1,1,71,1,10,3,14,0,23,26,1,4,5,0,1,0,28,17,7,8,11,21,6,0,10,8,20,11,3,1,31,7,4,0,131,1,0,0,5,12,14,0,18,0,6,9,0,4,0,35,0,9,9,1,2,27,2,6,17,3,0,6,30,0,5,0,2,0,13,2,2,9,2,0,0,16,11,0,2,4,12,20,0,1,1,2,24,17,8,17,6,1,17,12,3,1,4,16,5,9,10,14,19,6,3,1,9,4,1,32,54,1,1,28,13,6,2,0,1,2,4,21,0,7,16,7,5,1,19,2,0,13,0,1,27,22,28,13,2,12,14,2,8,18,16,10,39,14,7,0,0,0,9,1,4,13,20,10,1,13,11,5,26,7,64,5,87,14,3,14,6,4,8,31,1,2,111,10,0,1,12,7,3,3,5,12,4,6,0,2,18,30,44,41,19,17,20,2,10,20,0
1,9,0,6,379,7,3,0,25,0,13,14,27,7,2,2,4,5,0,11,15,20,14,21,6,22,0,1,0,3,13,32,40,24,15,93,82,2,7,3,4,40,24,35,20,0,41,12,4,9,15,3,16,19,7,8,1,0,5,15,24,26,0,31,7,3,4,16,0,4,0,2,4,24,9,11,1,10,1,66,6,14,17,12,8,18,5,2,7,1,11,0,0,11,2,32,0,15,1,2,4,4,7,5,1,5,4,22,29,5,26,2,11,5,0,4,3,3,3,0,0,7,0,4,5,10,18,0,1,2,15,32,0,15,12,27,22,0,8,26,4,8,20,4,7,11,8,23,3,9,4,13,5,3,6,39,12,24,8,10,3,2,13,8,30,5,34,2,7,4,6,12,0,5,1,10,25,1,6,5,30,8,5,17,10,12,7,1,12,7,3,12,9,2,27,22,6,24,21,5,54,1,13,0,0,16,9,43,0,0,22,0,3,0,8,1,10,3,9,2,5,0,35,25,37,34,19,9,1,8,23,0,0,8,15,5,19,30,4,8,1,36,15,0,1,2,12,0,0,0,8,36,31,33,5,0
28,46,17,3,0,0,0,0,1,2,2,13,9,3,12,5,28,0,0,1,22,21,11,24,24,9,1,44,1,41,9,10,32,20,3,26,4,10,6,10,0,20,20,29,14,13,6,29,9,4,4,0,17,3,1,9,0,34,9,5,5,23,0,16,10,5,0,23,2,0,1,108,28,7,23,6,28,19,0,19,20,39,8,29,13,22,19,3,0,51,33,4,0,2,12,22,4,16,3,18,4,0,11,0,5,0,12,33,1,0,8,7,46,14,16,3,4,22,1,3,0,14,11,8,0,5,10,26,2,1,9,23,11,3,26,14,18,1,0,8,2,14,19,24,25,7,5,15,8,4,1,3,8,3,17,10,19,1,3,9,16,17,5,10,9,16,2,22,2,39,13,10,0,2,8,1,10,1,10,20,7,20,4,8,9,21,24,0,8,28,11,11,34,5,23,4,9,1,4,2,27,59,18,3,0,4,3,8,26,7,34,28,30,15,0,30,2,46,0,34,13,41,29,4,13,5,0,7,33,2,22,37,18,23,9,13,1,5,24,20,19,20,35,0,14,6,11,28,19,8,11,11,0,13,18,0
