9,20,28,10,0,7,14,29,3,6,24,24,36,29,46,12,3,10,0,31,20,23,50,38,44,6,9,24,49,108,21,33,21,18,16,15,20,47,33,18,25,6,37,17,30,49,16,27,38,52,54,4,6,9,4,9,7,18,5,23,76,55,3,30,62,13,1,7,0,7,13,40,11,63,45,21,36,45,3,21,33,16,11,20,40,18,28,62,2,119,29,27,3,8,44,24,0,34,16,61,33,9,106,82,36,5,61,6,0,14,19,167,2,91,0,36,21,73,50,22,1,41,38,16,2,13,28,62
64,28,10,0,203,0,10,74,0,0,1,33,86,30,10,2,17,0,0,62,13,22,66,73,20,0,0,50,0,154,95,68,0,6,2,41,29,9,31,20,22,0,27,26,45,7,81,29,85,11,7,0,0,49,0,6,0,26,18,3,0,23,0,47,20,4,0,46,0,2,0,53,13,93,35,7,12,7,0,29,21,24,13,0,7,33,12,0,0,119,9,41,55,0,25,63,0,32,0,1,65,24,20,0,6,35,37,17,10,0,29,5,2,1,1,5,34,6,44,68,0,60,0,6,4,5,54,0
2,0,6,2,0,4,5,4,0,4,20,2,11,6,57,0,1,1,0,7,67,3,7,3,43,1,1,9,8,121,2,6,1,39,25,3,0,8,57,20,1,2,17,2,28,377,1,2,12,40,13,0,1,2,0,2,1,41,1,34,6,56,0,6,14,0,5,6,0,8,2,98,14,55,48,3,7,55,1,2,38,62,1,0,26,5,123,53,0,124,6,12,0,0,12,5,0,1,6,43,9,3,58,0,44,3,46,1,0,10,1,400,0,105,13,15,1,19,28,59,0,7,11,18,0,10,16,34
1,74,16,6,622,4,0,25,14,15,37,92,85,18,0,3,1,3,0,58,4,44,80,64,14,16,13,47,2,11,17,48,14,33,5,100,11,24,29,5,9,15,18,43,24,4,9,46,55,0,20,0,1,7,0,21,3,0,46,0,36,16,9,37,13,7,0,5,7,6,13,1,0,19,14,11,18,9,0,23,3,14,30,10,5,69,3,6,6,7,13,7,1,12,17,75,8,39,11,42,38,65,4,2,1,22,3,36,4,20,40,2,0,8,0,0,16,26,53,14,1,57,7,2,8,2,20,2
17,19,10,0,10,11,5,73,68,9,9,17,24,17,7,13,0,4,2,25,20,17,14,17,69,13,0,38,0,63,113,19,1,10,65,12,79,64,29,4,16,7,60,18,49,3,94,11,25,10,29,1,4,158,2,9,0,17,9,1,31,54,1,23,25,6,26,70,0,32,0,3,4,46,24,10,17,18,0,195,4,46,13,2,19,10,22,2,0,5,19,35,40,104,50,18,0,17,50,55,21,27,9,2,10,33,6,23,42,13,18,5,57,10,2,10,21,16,30,18,0,30,3,6,5,2,26,0
24,15,25,15,0,18,15,43,1,23,42,1,10,22,2,5,2,13,7,59,0,6,5,76,7,19,10,61,22,12,47,149,10,0,94,2,6,15,3,48,11,32,35,14,39,26,43,38,51,35,28,17,17,19,2,136,6,34,0,43,36,2,0,17,28,30,3,56,3,16,5,11,0,13,8,40,3,78,9,6,40,6,2,8,38,1,30,32,2,5,72,47,1,7,23,64,0,25,43,49,78,0,34,7,38,4,29,0,6,22,10,16,8,32,27,19,44,82,29,125,1,49,28,91,8,26,72,25
1,15,14,28,0,33,2,13,1,8,76,2,4,25,2,4,19,15,9,8,5,16,19,21,15,10,15,16,38,55,23,35,8,2,24,3,5,8,8,43,20,5,7,21,70,24,46,29,8,16,24,6,25,39,21,28,1,35,1,24,41,7,2,25,17,23,16,37,0,20,5,7,8,76,10,25,5,100,6,30,35,8,20,13,37,2,68,35,0,44,40,75,27,9,23,19,0,38,23,134,56,1,15,2,7,2,20,5,2,53,14,7,23,35,10,9,33,20,32,35,0,15,30,14,16,16,31,28
2,22,27,4,0,6,12,28,0,4,3,10,19,41,10,11,0,3,0,13,16,29,34,19,16,4,1,16,1,77,31,36,0,17,7,7,35,14,13,37,30,11,16,34,20,28,35,34,10,57,28,0,2,35,0,4,0,99,10,11,10,42,0,34,24,1,5,2,0,10,1,43,0,33,19,18,21,27,0,18,35,28,38,0,21,36,23,4,0,278,21,14,0,14,15,33,0,18,3,20,64,14,75,0,46,26,140,10,3,12,42,40,3,26,15,19,33,17,46,45,0,10,2,10,4,3,34,2
14,56,26,7,379,16,20,58,36,21,15,63,53,13,3,5,1,13,0,56,15,42,29,42,10,23,1,28,3,5,61,51,4,34,29,118,111,41,23,8,24,20,16,35,24,1,77,21,47,12,27,4,9,53,9,9,3,0,40,10,61,11,0,45,4,10,4,4,1,8,1,0,4,41,13,19,16,40,1,103,20,17,36,11,13,40,4,4,1,0,16,24,16,24,45,38,0,25,7,33,16,56,6,5,15,34,5,45,42,29,44,1,16,10,1,10,11,10,45,18,0,31,14,10,9,9,33,0
33,34,8,6,0,3,7,25,1,18,18,35,39,6,25,11,23,1,1,43,44,23,30,44,67,11,11,52,29,100,17,33,14,28,18,41,17,19,82,19,10,5,25,20,18,20,17,20,50,31,4,3,5,16,4,11,0,57,12,19,34,30,0,39,31,6,0,16,3,9,7,14,22,45,52,11,32,94,2,18,54,56,15,9,81,16,41,29,3,137,67,31,4,1,43,40,6,35,12,47,23,12,36,0,27,9,43,9,1,13,23,23,5,25,77,16,13,52,37,101,1,64,5,7,2,13,36,46
